Nr,Titel,Beschrieb,Ort,OrtLink,Jahr,Akteurinnen,Themenfelder,FinanzielleUnterstuetzung,Laufend,Link1,Link2
11,MiniMuseumMürren,"Der Verein MiniMuseumMürren wurde 2008 gegründet, damit den Besucher*innen und Bewohner*innen die Geschichte von Mürren vermittelt werden kann. Das Ziel des Vereins ist es den öffentlichen Raum durch die Wiederbelebung der Schaufenster aufzuwerten und einen sozialgeschichtlichen Bogen zur Gegenwart zu machen. Im Schaufenster werden jährlich neue Ausstellungen platziert und so eine Verbindung mit schon vorhandenen lokalen Räumlichkeiten geschaffen.",Mürren,https://s.geo.admin.ch/87c58d5f33,2008,Privatpersonen,"Tourismus, Kultur", ,ja,http://www.minimuseummuerren.ch/, 
12,Schnuppercamp für die Hotellerie und Gastronomie,"Das Schnuppercamp ermöglicht Jugendlichen im Berufswahlalter Einblicke in die Welt der Hotellerie, Gastronomie und des Tourismus und leistet einen wichtigen Beitrag in der Nachwuchsförderung. Die aktuellen Durchführungen im Wallis und Berner Oberland werden von HotellerieSuisse, den jeweiligen kantonalen Regionalverbänden von HotellerieSuisse und den Kantonen unterstützt. Betriebe in Berg- und Tourismusregionen haben teils Schwierigkeiten Lernende zu finden. Die teilnehmenden Jugendlichen aus der ganzen Schweiz haben nicht nur die Gelegenheit, die Branchenberufe besser kennenzulernen, sondern sie erfahren auch, wie attraktiv das Leben und Arbeiten in einer Tourismusregion ist.",Gstaad,https://s.geo.admin.ch/87c58d9190,2006,"Tourismusorganisation, Unternehmen, Verbände","Tourismus, Fachkräfte, Beherbergung, Gastronomie", ,ja,https://www.hotelleriesuisse.ch/de/bildung-und-fachkraefte/berufe-und-ausbildung/erster-einblick/schnuppern, 
13,hotelpower.ch ,"Hotelleriesuisse ist Träger des Projekts hotelpower.ch, welches 2003 von verschiedenen Akteuren aus der Hotelbranche entwickelt wurde. Aufgrund von steigenden Energiepreisen und dem Klimawandel soll mit dem Projekt Energie eingespart werden. Es hat zum Ziel die Branche für Energieeffizienzmassnahmen zu sensibilisieren und so die CO2-Emissionen und die Kosten zu reduzieren. Möglichst viele Betriebe aus der Hotellerie sollen in die Zielvereinbarungen eingebunden werden.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2003,"Bildungs- und Forschungsinstitutionen, Unternehmen, Verbände","Tourismus, Beherbergung, Energie", ,ja,http://www.hotelpower.ch/,  
14,Hotelarchiv Schweiz,"Die Stiftung Hotelarchiv Schweiz wurde 2008 durch hotelleriesuisse und privaten Gönner*innen gegründet. Es wurde ein Archiv aufgebaut, welches die Ursprünge der Hotel- und Tourismusgeschichte sammelt und sicherstellt. Die Objekte sollen der Öffentlichkeit zur Verfügung stehen und dienen als Quelle für Forschung und Bildung. Hotelarchiv ist der Meinung, dass es wichtig ist, zur Gestaltung der Zukunft die Geschichte zu verstehen. Somit dienen die Hotel- und Tourismusgeschichten dazu Innovationen für die Zukunft zu prägen.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2008,"Privatpersonen, Verbände","Tourismus, Beherbergung, Kultur",Innotour,ja,http://hotelarchiv.ch/, 
15,ViaPostaAlpina,"In einer Zusammenarbeit von Kulturwege Schweiz und PostAuto AG wurde die Route ViaPostaAlpina gegründet. Es ist ein Kulturweg durch die Schweizer Alpen über die Pässe Grimsel, Nufenen, Gotthard und Susten. Während die Landschaft vorbeizieht, werden während der Reise historische Einblicke zur Entwicklung des Postauto vermittelt. Die Busfahrt wird mit Wanderungen auf historischen Pfaden kombiniert und kann in sechs Tagesetappen absolviert werden. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2012,"Unternehmen, Stiftungen","Tourismus, Mobilität, Freizeitaktivität, Kultur", ,ja,http://www.kulturwege-schweiz.ch/via-routen/viapostaalpina.html, 
16,Bus alpin,"Seit 2005 ist der Bus alpin in Regionen aktiv, in denen keine oder nur schlechte ÖV-Verbindungen vorhanden sind. Viele bekannte Ausflugsziele sind aber genau in solchen Regionen. Diese Ausflugsziele leiden oftmals an dem vermehrt aufkommenden motorisierten Verkehr. Bus alpin hat das Ziel die ÖV-Angebote an solchen Orten auszubauen und unterstützt mittlerweile schon 17 Regionen. Partner vom Verein sind PostAuto, Netzwerk Schweizer Pärke und viele mehr. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2005,"Vereine, Unternehmen, Öffentlicher Sektor, Verbände","Tourismus, Mobilität, Ökologie",Schweizer Berghilfe,ja,https://busalpin.ch/, 
17,Ferien – zugänglich für alle,"2013 startete das Projekt «Ferien – zugänglich für alle» in einer Zusammenarbeit von Schweizer Jugendherbergen und der Stiftung Denk an mich. Ziel war es, das Angebot der Schweizer Jugendherbergen vom Internetauftritt bis zu den Häusern hindernisfrei zu gestalten. Damit wollen sie eine Signalwirkung für die Tourismusbranche erreichen und auf das Thema Barrierefreiheit aufmerksam machen. Das Projekt soll kopiert und imitiert werden können. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2013,"Unternehmen, Stiftungen, Öffentlicher Sektor","Tourismus, Mobilität, Beherbergung, Inklusion", ,nein,https://www.youthhostel.ch/de/hindernisfrei/hindernisfrei/, 
18,Swiss Tavolata ,"Swiss Tavolata entstand nach dem Erfolg der TV-Sendung Landfrauenküche und ermöglicht Leuten bei Bäuerinnen und Landfrauen zu Hause die traditionelle Schweizer Küche zu degustieren. Nach einem Hofrundgang wird ein Gericht aus einheimischen Produkten, wobei mindestens 80% vom eigenen Hof sind, zubereitet. Das Ziel von Swiss Tavolata ist Landwirtschaft und Tourismus zu verbinden und so ein zusätzliches Einkommen für die Bäuerinnen zu ermöglichen. ",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2013,"Unternehmen, Verbände","Tourismus, Landwirtschaft, Gastronomie","QuNaV, Innotour",ja,https://www.swisstavolata.ch/, 
19,Sanierung ist die halbe Miete,"Die Gemeinde Adelboden und Adelboden Tourismus haben gemeinsam das Projekt «Sanierung ist die halbe Miete» ins Leben gerufen. Das Projekt schafft Anreize für Zweitwohnungsbesitzer*innen ihre in die Jahre gekommenen Immobilien zu sanieren. Dabei offeriert die Gemeinde 20 Stunden Beratungsdienstleistungen für den Umbau, unter der Bedingung, dass beim Bauen das lokale Gewerbe berücksichtigt wird und die Wohnung anschliessend für mindestens 3 Jahre vermietet wird. Das Ziel ist die Logiernächte zu erhöhen, das Gewerbe vor Ort zu unterstützen und somit auch die Steuereinkünfte der Gemeinde zu erhöhen. ",Adelboden,https://s.geo.admin.ch/87c58e1921,2016,"Tourismusorganisation, Unternehmen, Öffentlicher Sektor","Tourismus, Bau- und Holzwirtschaft, Beherbergung", ,ja,https://www.adelboden.ch/de/s/sanierung-halbe-miete, 
20,Made in Bern,"Unter dem Namen «Made in Bern» hat sich die BE! Tourismus AG 2012 gegründet, um für den Tourismuskanton Bern einen selbstbewussten Martketingauftritt zu erschaffen. Der Kanton Bern und die Berner Tourismusdestinationen gründeten die AG mit dem Ziel langfristig die touristische Wertschöpfung zu steigern und die Nr. 1 im Tourismus der Schweiz zu werden. Dies soll mitunter geschaffen werden, indem die Sichtbarkeit des Tourismus erhöht und der Austausch zwischen Partnern gestärkt wird. ",Kanton Bern,https://s.geo.admin.ch/87c58e4341,2012,"Tourismusorganisation, Unternehmen, Öffentlicher Sektor","Tourismus, Vermarktung", ,ja,https://www.madeinbern.com/de/home, 
21,flatnap,"Das Pilotprojekt Flatnap wurde 2017 als Startup von Dominik und Daniel Stocker gegründet. Flatnap ist ein Abo für Hotelübernachtungen. Zu einem Pauschalpreis können Kurztrips von einer Nacht so oft du willst über die Plattform gebucht werden. Beim jeweiligen Hotel können dann auch noch Zusatzleistungen oder weitere Nächte gebucht werden. Flatnap startete in Graubünden und hat mittlerweile auch ein Gastgeber in Grindelwald. Die beiden Gründer haben die Vision, dass sie die Nr. 1 für Kurzferien in der Schweiz werden.",Grindelwald,https://s.geo.admin.ch/87c58b4be8,2017,Privatpersonen,"Tourismus, Beherbergung", ,ja,https://www.flatnap.ch/, 
22,YourGstaad,"2011 wurde vom Hotelierverein Gstaad Saanenland die Community YourGstaad gegründet. Sie haben die Herausforderung des Fachkräftemangels erkannt und wollen Gstaad als Arbeitsort bekannter machen. Den Mitarbeitenden wird mit YourGstaad eine Plattform geboten, um aktuelle Jobangebote, Rabatte, Weiterbildungen oder Wohnraum zu finden. So soll den Mitarbeitenden die Attraktivität der Destination gezeigt werden und die Hotelbetriebe profitieren gemeinsam.",Gstaad,https://s.geo.admin.ch/87c58d9190,2011,"Vereine, Unternehmen","Tourismus, Fachkräfte, Beherbergung, Gastronomie", ,ja,https://yourgstaad.ch/, 
23,Hotelkooperation Frutigland,"Im Jahr 2015 haben sich 13 Hotelbetriebe zusammengeschlossen und die Hotelkooperation Frutigland erschaffen. In der Umgebung Frutigland gibt es sehr viele kleine Hotelbetriebe, welche finanziell vor grossen Herausforderungen stehen. Mit der Kooperation soll es gelingen, eine bessere Zusammenarbeit zwischen den Betrieben zu fördern, damit untereinander ausgeholfen werden kann. Um jedoch eine Kooperation zu gründen, müssen die Betriebe erkennen, dass sie voneinander profitieren können und nicht denken, Gäste an andere Kooperationspartner zu verlieren. ",Frutigen,https://s.geo.admin.ch/87c58ee538,2015,"Tourismusorganisation, Unternehmen","Tourismus, Beherbergung",Innotour,ja,https://www.swissalpinehotels.ch/ueber-uns.html, 
24,Swiss Ranger Station Haslital,"Im Jahr 2016 wurde das Unternehmen Swiss Ranger Station Haslital von Franziska und Thomas Herren gegründet. Sie waren der Meinung, dass man die Natur erleben und verstehen muss, um sie zu lieben und zu schützen. Die beiden erstellten im Haslital einen Ort für Menschen, welche gerne in der Natur sind. Die Idee war, dass die Leute in einem Wagenloft ihre Tage verbringen und mit dem Ranger unterwegs sein können. Leider wurde keine Bewilligung für das Wagenloft erteilt und das Projekt wurde aufgegeben. ",Meiringen,https://s.geo.admin.ch/87c58f27f2,2016,Privatpersonen,"Tourismus, Freizeitaktivität, Beherbergung, Ökologie, Bildung",NRP,nein,https://rangerstation.ch/, 
25,"Schnupper- und Lehrstellenbörse für die Hotellerie und Gastronomie","HotellerieSuisse und GastroSuisse lancierten die Schnupper- und Lehrstellenbörse für die Hotellerie und Gastronomie berufehotelgastro.ch. In diesen Branchen zeigte sich die Herausforderung, genügend Nachwuchs zu finden. So wurde berufehotelgastro.ch gestartet. Es soll für die Jugendlichen eine übersichtliche Plattform für die Berufe in der Branche darstellen. Einerseits werden Lehrstellen oder Schnupperstellen angeboten und andererseits wird der Beruf näher vorgestellt. Weiter gibt es noch viele andere nützliche Funktionen für den Nachwuchs.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2013,"Unternehmen, Verbände, Öffentlicher Sektor","Tourismus, Fachkräfte, Beherbergung, Gastronomie",Innotour,ja,https://www.berufehotelgastro.ch/home, ,
26,Innovationsgenerator,"Unter dem Namen Innovationsgenerator wurde das Projekt von CIPRA als Projektträgerin und weiteren Partnern im Jahr 2017 gestartet. Das Ziel war es, innovative Ideen zum Thema nachhaltiger Tourismus im Schweizer Alpenraum zu finden und weiterzuentwickeln. Dazu bietet der Innovationsgenerator den Projektinitiant*innen fachliche und finanzielle Unterstützung und hilft mit bei der Vernetzung der unterschiedlichen Akteur*innen. Mit dem Instrument der Co-Creation sollen innovative Ideen entstehen und weiterentwickelt werden.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2017,"Bildungs- und Forschungsinstitutionen, Vereine, Tourismusorganisation, Unternehmen, Verbände",Tourismus,Innotour,ja,https://www.innovationsgenerator.ch/index.php/aktuelles.html, 
27,Tourist Information 3.0,"Mehrere Tourismusdestinationen wollten erarbeiten, wie sich das Tourist Office in der Zeit der Digitalisierung verändern wird und sie trotzdem attraktiv bleiben können. Deshalb wurde das Projekt Tourist Office 3.0 von dem Unternehmen gutundgut gmbh gestartet. Es wurde dabei analytisch erarbeitet, welche Bedürfnisse sowohl die Gäste als auch die Leistungsträger haben. Dazu wurden die Gäste und Leistungsträger systematisch befragt und es kam zu einem direkten Austausch zwischen den Destinationen.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2017,"Bildungs- und Forschungsinstitutionen, Tourismusorganisationen, Unternehmen","Tourismus, Digitalisierung",Innotour,nein,https://www.seco.admin.ch/seco/de/home/Standortfoerderung/Tourismuspolitik/Innotour/Gefoerderte_Projekte/2016-bis-2019/-tourist-office-3-0-.html, 
28,Erlebnis Baudenkmal ,"Im Jahr 2005 wurde die Stiftung Ferien im Baudenkmal vom Schweizer Heimatschutz gegründet. Die Stiftung ist an der Schnittstelle zwischen Tourismus und Denkmalpflege und setzt sich für den Erhalt von Baudenkmälern ein. Oftmals stehen solche aber in abgelegenen Gebieten. Die Stiftung will diese aufwerten, damit für die Orte neue Wertschöpfung entsteht. Sobald Gäste die Gebäude beziehen, werden auch regionale Läden und Produkte davon profitieren.",Schweizweit,https://s.geo.admin.ch/87c58a7aac,2005,"Bildungs- und Forschungsinstitutionen, Unternehmen, Tourismusorganisationen, Stiftungen","Tourismus, Bau- und Holzwirtschaft, Beherbergung, Kultur",Innotour,ja,https://magnificasa.ch/baudenkmaeler/, 
29,Schneesportzug White Bull,"Die BLS und Gstaad Mountain Rides haben 2008 gemeinsam den White Bull entwickelt. Es war ein Zug, welcher die Gäste von Bern via Wabern, Belp, Thun und Spiez nach Zweisimmen/Gstaad führt. Damit sollte eine staufreie und ökologische Variante erschaffen werden, um mit den Skiern direkt an die Bergstation zu kommen. Der White Bull war am Wochenende und an Feiertagen unterwegs, um den normalen Zugbetrieb zu entlasten. Der Zug war auf Jugendliche ausgerichtet und so gestaltet, dass bereits die Anreise ein Erlebnis ist. Skipässe konnten direkt im Zug erworben werden.",Gstaad,https://s.geo.admin.ch/87c58d9190,2008,Unternehmen,"Tourismus, Mobilität", ,nein,, 
30,Götti-System der Berner Bergbahnen,"Das Projekt «Götti-System» wurde von den Berner Bergbahnen 2007 errichtet. Das Ziel dahinter ist, dass grössere Berner Skigebiete den kleineren Gebieten aushelfen und sie mit ihrem Wissen unterstützen. Für die grösseren Skigebiete ist die Existenz der kleinen enorm wichtig, da viele Leute an den Voralpenskiliften das Skifahren erlernen. Würden diese wegfallen, gäbe es noch weniger Leute, welche Wintersport betreiben. Somit helfen sich Gross und Klein gegenseitig. ",Berner Oberland,https://s.geo.admin.ch/87c58c40a0,2007,Unternehmen,Tourismus, ,ja,https://www.berner-bergbahnen.ch/%C3%BCber-uns/voralpenlifte/, 
31,IG – Kiley-Alpen,"Sieben Diemtigtaler Bauern haben 2005 erkannt, dass immer mehr Käsereien verschwanden und es auch für sie immer schwieriger wurde. Deshalb schlossen sie sich zusammen zur Genossenschaft Kiley-Alpen und betrieben gemeinsam die Alpkäserei Kiley weiter. Mit dem Kauf konnten sie den Schwund von Bauernbetrieben aufhalten und sich ihre Existenz sichern. Die Genossenschaft betreibt die heute grösste Bioalpkäserei und der Biostatus trägt stark zum Erfolg bei. ",Diemtigen,https://s.geo.admin.ch/87c58f95d3,2005,Unternehmen,"Landwirtschaft, Alpwirtschaft, Lokale Produkte, Ökologie", ,ja,http://www.alporama.ch/gv2/get/get_SenntenDetail.asp?idSennten=1524, 
32,Wollreich Haslital,"Im Jahr 1996 bekam die Familie Brog drei Schwarznasenschafe geschenkt. Es folgten immer mehr Tiere und heute ist die Familie in Besitz von rund 200 Schafen. Der Betrieb Wollreich Haslital und die Produktauswahl weiteten sich stark aus. Innovation wie Schafwollkugeli für Kissen und Stillringe sowie Duvets und Bettauflagen gefüllt mit eigener Schafwolle führten zu einem schweizweiten Erfolg. Zweimal im Jahr sammelt das Wollreich die Wolle für Swisswool, welche dies als Füllmaterial für Outdoor-Jacken oder als Isolation weiterverarbeitet.",Meiringen,https://s.geo.admin.ch/87c58f27f2,1996,Unternehmen,"Tourismus, Landwirtschaft, Freizeitaktivität, Industrie, lokale Produkte",Schweizer Berghilfe,ja,http://www.wollreich.ch/, 
33,Deux im Schnee,"Die Erziehungsdirektionen der Kantone Genf und Bern gründeten zusammen mit Gstaad Saanenland Tourismus «Deux im Schnee». Es handelt sich um ein zweisprachiges Schneesportlager in der Destination Gstaad mit Jugendlichen aus der Oberstufe. Die Skiregion trägt so zur Förderung des Nachwuchses im Schneesport bei, die kulturelle Vielfalt wird unterstützt und die Jugendlichen können mit viel Spass ihre Sprachkenntnisse verbessern.",Gstaad,https://s.geo.admin.ch/87c58d9190,2016,"Tourismusorganisation, Öffentlicher Sektor","Freizeitaktivität, Kultur, Bildung", ,ja,https://www.gstaad.ch/deux-im-schnee.html, 
34,Käsereifungslager Innertkirchen,"In Innertkirchen entstand 2014 das Projekt, die Felskaverne zu einem Käsereifungslager umzubauen. Somit konnte eine schon bestehende, ungenutzte Infrastruktur umgebaut und wiederverwendet werden. Im Stollen soll auch ein Degustationsraum erschaffen werden. Der Mieter Tschümperlin lagert nicht nur seinen Käse, sondern hat auch die die Auflage, den Käse der Alpgenossenschaften zu lagern.",Innertkirchen,https://s.geo.admin.ch/87c5900b2a,2014,"Privatpersonen, Unternehmen, Öffentlicher Sektor","Landwirtschaft, Alpwirtschaft, Lokale Produkte", ,ja,https://www.gadmen-dolomiten.ch/blog/portfolio-item/kaesereifungslager-innertkirchen/, 
35,Gemeinschaftsgarten Aarefeld,"Der Gemeinschaftsgarten Aarefeld wurde 2012 unter der Trägerschaft der Vereine «Ärdele» und «Zukunft Wohnen» in der Region Thun gegründet, um gemeinsam einen Gartentreff zu organisieren. Es soll ein Ort der Begegnung entstehen, der auf verschiedene Arten genutzt werden kann. Auf der Fläche wird Gemüse und Früchte für den Vereinsgebrauch angepflanzt und an Dritte weitergegeben.",Thun,https://s.geo.admin.ch/87c59043a5,2012,Vereine,"Alternatives Produzieren & Konsumieren, Gemeindeentwicklung", ,ja,https://www.aerdele.ch/startseite.html, 
36,Belmont,"Im Jahr 2013 wurde die Genossenschaft Lebensraum Belmont von acht Mitgliedern gegründet. Mit der Perspektive, dass Menschen miteinander in Einklang leben möchten, entstand das Mehrgenerationenprojekt, bei welchem ein durchmischter Generationenmix in einem ehemaligen Hotel zusammenlebt. Dabei wird auf einen respektvollen Umgang untereinander geachtet und versucht, eine wohlwollende Gemeinschaft aufzubauen.",Wilderswil,https://s.geo.admin.ch/87c5907dc8,2013,Privatpersonen,"Ökologie, Wohnen", ,ja,https://lebensraumbelmont.ch/, 
37,Blago Bung,"2017 wurde der Verein Zwischennutzung Hotel Touriste gegründet damit gemeinsam für das ungenutzte Hotel Touriste eine Zwischenlösung gefunden werden kann. Das Hotel liegt im Zentrum von Interlaken an bester Lage. Der Verein hat unter dem neuen Namen Blago Bung die Räumlichkeiten neu errichtet. Der Ort ist nun ein Kulturtreffpunkt, Veranstaltungsort und ein Projekt für junge Menschen aus der Region. ",Interlaken,https://s.geo.admin.ch/87c590bf67,2017,Privatpersonen,"Alternatives Produzieren & Konsumieren, Gemeindeentwicklung, Kultur", ,ja,http://blago-bung.ch/about/, 
38,Solidarische Landwirtschaft Erlengut,"Die Solidarische Landwirtschaft im Erlengut wurde vom kleinen Betrieb Biogemüse Erlengut im Jahr 2017 gegründet. Das Ziel ist es, eine Nahrungsmittelproduktion aufzubauen, bei der sich die Produzent*innen und Konsument*innen gemeinsam organisieren. So kann geplant werden, wie viel Gemüse gebraucht wird und es werden Überschüsse vermieden. Auch muss das Gemüse nicht den Marktnormen entsprechen und lange Transportwege fallen weg. ",Steffisburg,https://s.geo.admin.ch/87c590fb24,2017,"Privatpersonen, Unternehmen","Alternatives Produzieren & Konsumieren, Landwirtschaft, Lokale Produkte, Ökologie",  ,ja,https://erlengutbio.wordpress.com/, 
39,SpiezSolar,"Die Genossenschaft SpiezSolar wurde 1999 mit einem Bau der ersten Photovoltaik-Anlage auf einem Schulgebäude in Spiez gegründet. Es folgten  weitere Projekte. SpiezSolar ist vor allem für die Beratung und Informationsvermittlung für Private und Gewerbe zuständig. Die Genossenschaft steht für eine umweltfreundliche Beschaffung, Verteilung und Förderung von erneuerbaren Energien ein. Mittlerweile gibt es in Spiez über 300 Solaranlagen, welche von SpiezSolar unterstützt wurden.",Spiez,https://s.geo.admin.ch/87c5913643,1999,Privatpersonen,"Ökologie, Energie",,ja,https://www.spiezsolar.ch/, 
