Nr;Titel;Beschrieb;Ort;OrtLink;Jahr;Akteurinnen;Themenfelder;FinanzielleUnterstuetzung;Laufend;Link1;Link2
21;flatnap;The Flatnap pilot project was founded in 2017 as a start-up by Dominik and Daniel Stocker. Flatnap is a subscription for hotel accommodation. For an all-inclusive price, short trips of one night can be booked as often as you like via the platform. Additional services or additional nights can then be booked with the respective hotel. Flatnap started in Graubünden and now also has a host in Grindelwald. The two founders have the vision of becoming the No. 1 for short holidays in Switzerland.;Grindelwald;https://s.geo.admin.ch/87c58b4be8;2017;Individuals;Tourism, Accommodation; ;Yes;https://www.flatnap.ch/; 
22;YourGstaad;In 2011 the Hotelier Association Gstaad Saanenland founded the  YourGstaad. They have recognized the challenge of the shortage of skilled workers and want to make Gstaad better known as a place to work. YourGstaad offers employees a platform on which they can find current job offers, discounts, further training or accommodation. In this way, the employees are to be shown the attractiveness of the destination and the hotel companies benefit jointly.;Gstaad;https://s.geo.admin.ch/87c58d9190;2011;Clubs, Companies;Tourism, Professionals, Accommodation, Gastronomy; ;Yes;https://yourgstaad.ch/; 
23;Hotelkooperation Frutigland;In 2015, 13 hotels joined forces to create the Frutigland Hotel Cooperation. In the Frutigland area, there are many small hotel businesses which are facing great financial challenges. The aim of the cooperation is to promote better cooperation between the companies so that they can help each other. However, in order to establish a cooperation, the businesses must realize that they can benefit from each other and not think of losing guests to other cooperation partners. ;Frutigen;https://s.geo.admin.ch/87c58ee538;2015;Tourism organisation, Companies;Tourism, Accommodation;Innotour;Yes;https://www.swissalpinehotels.ch/ueber-uns.html; 
24;Swiss Ranger Station Haslital;In 2016 the  Swiss Ranger Station Haslital was founded by Franziska and Thomas Herren. They were of the opinion that one must experience and understand nature in order to love and protect it. The two created a place in the Haslital for people who like to be in nature. The idea was that people could spend their days in a wagon loft and be on the road with the ranger. Unfortunately, no permission was given for the wagon loft and the project was abandoned. ;Meiringen;https://s.geo.admin.ch/87c58f27f2;2016;Individuals;Tourism, Leisure activity, Accommodation, Ecology, Education;NRP;No;https://rangerstation.ch/; 
25;"Schnupper- und Lehrstellenbörse für die Hotellerie und 
Gastronomie";HotellerieSuisse and GastroSuisse launched the taster and apprenticeship exchange for the hotel and restaurant industry. The challenge of finding sufficient young talent in these sectors was evident. This is how berufehotelgastro.ch was launched. It is intended to provide young people with a platform for the professions in the industry. On the one hand, apprenticeships or trial positions are offered and on the other hand, the profession is presented in more detail. Furthermore, there are many other useful functions for young people.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2013;Companies, Associations, Public sector;Tourism, Professionals, Accommodation, Gastronomy;Innotour;Yes;https://www.berufehotelgastro.ch/home; 
26;Innovationsgenerator;This project was launched in 2017 by CIPRA as project sponsor and other partners. The aim was to find and develop innovative ideas for sustainable tourism in the Swiss Alpine region. The Innovation Generator offers the project initiators technical and financial support and helps to network the various players. Through co-creation, innovative ideas are to be created and further developed.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2017;Educational and research institutions, Clubs, Tourism organisations, Companies, Associations;Tourism;Innotour;Yes;https://www.innovationsgenerator.ch/index.php/aktuelles.html; 
27;Tourist Information 3.0;Several tourist destinations wanted to work out how the Tourist Office will change in the age of digitalization and how they can still remain attractive. Therefore the Tourist Office 3.0 project was started by the company gutundgut GmbH. The project was based on an analysis of the needs of both guests and service providers. For this purpose, the guests and service providers were systematically interviewed and a direct exchange between the destinations took place.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2017;Educational and research institutions, Tourism organisations, Companies;Tourism, Digitalisation;Innotour;No;https://www.seco.admin.ch/seco/de/home/Standortfoerderung/Tourismuspolitik/Innotour/Gefoerderte_Projekte/2016-bis-2019/-tourist-office-3-0-.html; 
28;Erlebnis Baudenkmal ;In 2005, the foundation was founded by the Swiss Heritage Society. The foundation is at the interface between tourism and heritage conservation and is committed to the preservation of architectural monuments. However, such monuments are often located in remote areas. The foundation wants to upgrade them so that new added value can be created for these places. As soon as guests move into the buildings, regional shops will also benefit.;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2005;Educational and research institutions, Companies, Tourism organisations, Foundations;Tourism, Construction and timber industry, Accommodation, Culture;Innotour;Yes;https://magnificasa.ch/baudenkmaeler/; 
29;Schneesportzug White Bull;BLS and Gstaad Mountain Rides jointly developed the White Bull in 2008. It was a train that takes guests from Berne via Wabern, Belp, Thun and Spiez to Zweisimmen/Gstaad. The aim was to create a congestion-free and ecological alternative to directly get to the top of ski stations. The White Bull operated on weekends and on public holidays to relieve the normal train operation. The train was aimed at young people and designed in such a way that even the journey to the station was an experience. Ski passes could be purchased directly on the train.;Gstaad;https://s.geo.admin.ch/87c58d9190;2008;Companies;Tourism, Mobility; ;No;; 
30;Götti-System der Berner Bergbahnen;"The ""Götti System"" project was built by the Bernese mountain railways in 2007. The aim behind it is that larger Bernese ski resorts should help the smaller resorts and support them with their knowledge. For the larger ski areas, the existence of the smaller ones is extremely important, as many people learn to ski at the pre-alpine ski lifts. If these were to disappear, there would be even fewer people practicing winter sports. So young and old help each other. ";Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;2007;Companies;Tourism; ;Yes;https://www.berner-bergbahnen.ch/%C3%BCber-uns/voralpenlifte/; 
31;IG – Kiley-Alpen;In 2005, seven farmers in the Diemtigtal recognized that more and more cheese dairies were disappearing and that it was becoming increasingly difficult for them too. Therefore they joined to form the Kiley-Alpen cooperative and together they continued to run the Kiley alpine cheese dairy. With the purchase they were able to stop the disappearance of farms and secure their existence. The cooperative operates today's largest organic alpine cheese dairy and the organic status contributes greatly to its success. ;Diemtigen;https://s.geo.admin.ch/87c58f95d3;2005;Companies;Agriculture, Alpine farming, Local products, Ecology; ;Yes;http://www.alporama.ch/gv2/get/get_SenntenDetail.asp?idSennten=1524; 
32;Wollreich Haslital;In 1996 the Brog family received three black-nosed sheep as a gift. More and more animals followed and today the family owns about 200 sheep. The Wollreich Haslital farm and the product range expanded considerably. Innovations such as sheep's wool balls for pillows and nursing rings as well as duvets and bed pads filled with their own sheep's wool led to success throughout Switzerland. Twice a year the Wollreich collects wool for Swisswool, which processes it as filling material for outdoor jackets or as insulation. ;Meiringen;https://s.geo.admin.ch/87c58f27f2;1996;Companies;Tourism, Agriculture, Leisure activity, Industry, Local products;Swiss mountain aid;Yes;http://www.wollreich.ch/; 
33;Deux im Schnee;"The education departments of the Cantons of Geneva and Bern, together with Gstaad Saanenland Tourism, founded ""Deux im Schnee"". This is a bilingual snow sports camp in the destination of Gstaad with young people. In this way, the ski region contributes to the promotion of young people in snow sports, cultural diversity is supported and the young people can improve their language skills with a lot of fun.";Gstaad;https://s.geo.admin.ch/87c58d9190;2016;Tourism organisation, Public sector;Leisure activities, Culture, Education; ;Yes;https://www.gstaad.ch/deux-im-schnee.html; 
34;Käsereifungslager Innertkirchen;In Innertkirchen, the project to convert the rock cavern into a cheese maturing warehouse was completed in 2014. This allowed an already existing, unused infrastructure to be converted and reused. A tasting room is also to be created in the gallery. The tenant not only stores his cheese, but also has the obligation to store the cheese of the alpine cooperatives.;Innertkirchen;https://s.geo.admin.ch/87c5900b2a;2014;Individuals, Companies, Public sector;Agriculture, Alpine farming, Local products; ;Yes;https://www.gadmen-dolomiten.ch/blog/portfolio-item/kaesereifungslager-innertkirchen/; 
35;Gemeinschaftsgarten Aarefeld;"The community garden Aarefeld was founded in 2012 under the sponsorship of the associations ""Ärdele"" and ""Zukunft Wohnen"" in the Thun region in order to organize a garden meeting together. The aim is to create a meeting place that can be used in various ways. Vegetables and fruits for the use of the association will be planted on the area and passed on to third parties.";Thun;https://s.geo.admin.ch/87c59043a5;2012;Clubs;Alternative production & Consumption, Community development; ;Yes;https://www.aerdele.ch/startseite.html; 
36;Belmont;In 2013 the cooperative was founded by eight members. With the perspective that people want to live in harmony with each other, the multi-generation project was created, in which different generations lives together in a former hotel. The project aims to treat each other with respect and tries to build a benevolent community.;Wilderswil;https://s.geo.admin.ch/87c5907dc8;2013;Individuals;Ecology, Living; ;Yes;https://lebensraumbelmont.ch/; 
37;Blago Bung;In 2017 the association was founded so that together an interim solution can be found for the unused Hotel Touriste. The hotel is situated centrally in Interlaken. The association has rebuilt the premises under the new name Blago Bung. The place is now a cultural meeting point, event location and a project for young people from the region. ;Interlaken;https://s.geo.admin.ch/87c590bf67;2017;Individuals;Alternative production & consumption, Community development, Culture; ;Yes;http://blago-bung.ch/about/; 
38;Solidarische Landwirtschaft Erlengut;This solidarity-based agriculture project was founded by the small company Biogemüse Erlengut in 2017. The aim is to build up a food production in which producers and consumers organize themselves together. In this way it can be planned how much vegetables are needed and surpluses can be avoided. The vegetables also do not have to meet market standards and long transport routes are eliminated. ;Steffisburg;https://s.geo.admin.ch/87c590fb24;2017;Individuals, Companies;Alternative production & consumption, Agriculture, Local products, Ecology;  ;Yes;https://erlengutbio.wordpress.com/; 
39;SpiezSolar;The cooperative SpiezSolar was founded in 1999 with the construction of the first photovoltaic system on a school building in Spiez. Further projects followed. SpiezSolar is primarily responsible for providing advice and information for private individuals and businesses. The cooperative stands for environmentally friendly procurement, distribution and promotion of renewable energies. Meanwhile there are more than 300 solar plants in Spiez, which have been supported by SpiezSolar.;Spiez;https://s.geo.admin.ch/87c5913643;1999;Individuals;Ecology, Energy;;Yes;https://www.spiezsolar.ch/; 
40;Tierhof Louberli;"Pia and Niklaus Hirschi came to the ""Louberli"" in 2013 and founded a place for animals of mercy on the mountain farm. The animals are allowed to live far away from factory farming and do not have to produce any more. The family also offers holidays on the Gnadenhof in the mountain house. Since 2015, they have had 15 decoy posts on the farm, on which information is written and with which they draw attention to their agricultural work.";Iseltwald;https://s.geo.admin.ch/87c5918911;2013;Individuals;Tourism, Agriculture, Accommodation;  ;Yes;https://www.tierhoflouberli.ch/; 
41;Hofkäserei Spitzhorn ;David Perreten and Thomas Schläppi jointly launched this cheese dairy in 2014. They decided to do so because their organic milk was not processed in the region and this did not fit into their philosophy. Their aim is to keep the added value in the region and to aim for direct marketing. The two farmers rely on extensive dairy farming and closed cycles on their farms. ;Grund b. Gstaad;https://s.geo.admin.ch/87c591b625;2014;Companies;Agriculture, Local products, Ecology; ;Yes;https://www.spitzhornk.ch/; 
42;Mountain Drive No Limits;In 1996, Andreas Jutzeler had the idea to develop an all-terrain wheelchair to enable people with mobility impairments to enjoy leisure activities in nature. Mountain Drive was presented in 2016 and since then, four such wheelchairs are in use on the Stockhorn, where the wheelchairs allow to drive around the Hinterstockensee. Mountain Drive is now available in various other destinations.;Erlenbach i.S. ;https://s.geo.admin.ch/87c591e294;1996;Clubs, Companies, Foundations;Tourism, Leisure activities, Inclusion; ;Yes;http://www.multidrive.ch/HOME/GESCHICHTE/;https://stockhorn.ch/erleben/sommer/gelaendegaengiger-rollstuhl
43;Eigerness Der Laden;"In many places, small shops have closed down and as a result, the range of regional products on offer has become increasingly limited. With the opening of the Eigerness shop, these regional products will be marketed. For this purpose 120 producers are members of the association. The shop is run according to the ""Eigerness Philosophy"" (personal / sustainable / connecting) and covers all areas of ""Eigerness"" (culinary, design & handicraft, lifestyle and outdoor).";Grindelwald;https://s.geo.admin.ch/87c58b4be8;2017;Individuals, Companies;Agriculture, Local products; ;Yes;https://eigernessderladen.ch/; 
44;Digital Roadmap Berner Oberland;"The ""Digital Roadmap"" project was launched in Biel-Seeland in 2016 and also reached the Bernese Oberland in 2018. The aim is to support companies in the Bernese Oberland in their digital transformation. In the Digital Roadmap, a digital business model is developed in a joint process. To this end, the companies are supported from determining the current situation and developing ideas, to concretizing them and implementing them. ";Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;2017;Clubs, Public sector, Associations;Digitisation, Industry;NRP;Yes;http://www.digitalroadmap.ch/beo/; 
45;SimmeSaaneSee;SimmeSaane was launched in 1997 in four regions of the Bernese Oberland. It was a 300-kilometre-long network of cycle paths through these regions. The aim was to strengthen environmentally conscious tourism and to stimulate economic activity in the regions. To this end, regional products and services were brought in and networked. The cooperation between the various sectors was intended to attract new guests.;Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;1997;Tourism organisation, Companies, Public sector;Tourism, Mobility, Leisure activities;Regio Plus;No;https://regiosuisse.ch/projects/ext/1319/simmesaanesee; 
46;spediBEO;The association spediBEO was founded in 2002 and is a platform for the development of logistics projects. The aim is to discuss current problems across sectors and thus to coordinate regional needs. The project should be self-supporting and supply the peripheral areas in the Bernese Oberland with goods. Through better coordination among the various players, empty runs can be reduced. ;Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;2002;Clubs, Public sector, Associations;Mobility, Industry;Regio Plus;No;; 
47;Tropenhaus Frutigen;The company Tropenhaus Frutigen AG was founded in 2003 and the house was opened in 2009. It plays a leading role in the use of renewable energies in the Alpine region. For this purpose, hot water from the Lötschberg base tunnel is used. It is a unique combination of exotic flora, aquaculture and knowledge transfer in an Alpine environment. Wherever possible, attention is paid to closed and resource-saving cycles. ;Frutigen;https://s.geo.admin.ch/87c58ee538;2003;Individuals, Companies;Tourism, Leisure activity, Local products, Gastronomy, Ecology;Regio Plus;Yes;https://www.tropenhaus-frutigen.ch/; 
48;Zukunft Hasliberg ;"The ""Zukunft Hasliberg"" project was launched in 2015 and the reason for this was the impact of the second home initiative, which limits the number of new second homes in mountain regions in Switzerland, on the construction industry in the community. Through the project, the population and those affected were to be able to co-determine the future of Hasliberg together, thus building on the strengths and potential. The main goal was to increase the activity of the community as a place to live and as a tourist destination and to this end an authentic village image was to be created. ";Hasliberg;https://s.geo.admin.ch/87c5926206;2015;Education and research institutions, Public sector;Tourism, Agriculture, Community development, Accommodation, Gastronomy, Housing, Mobility, Alpine economy, Construction & timber industry;NRP;No;https://www.hasliberg.ch/wirtschaft/zukunft-hasliberg/; 
49;Wärmeverbund Wimmis;In 2006, Axpo AG founded a heating network together with a civic community, the Burgergemeinde Wimmis. As the financial resources came from Axpo AG, it was a challenge for the Burgergemeinde to participate in decisions. From 2011 onwards, the Burgergemeinde and the municipality tried to take over the heating network. Since the takeover in 2016, 20 new contracts have already been signed and the plant optimized.;Wimmis;https://s.geo.admin.ch/87c5928f7f;2006;Public sector, Civic community;Ecology, Energy; ;Yes;http://www.wimmis.ch/xml_1/internet/de/application/d193/d490/f491.cfm; 
50;Asylprojekt KAFOL;In 2017, the KAFOL project was launched and it coordinates the asylum and refugee system in the Bernese Oberland. The aim is to enable and improve the professional integration of asylum seekers, temporarily admitted persons and refugees. With the earliest possible experience in the world of work, it is possible to find employment and no longer live on social welfare. To this end, there is cooperation among the organizations working in the field of asylum and refugees.;Frutigen;https://s.geo.admin.ch/87c58ee538;2017;Public sector;Community development, Industry, Inclusion; ;Yes;http://kafol.ch/; 
51;AlpenLernen;The AlpenLernen project was launched in 2014 to give school classes the opportunity to experience the high mountain landscape of the UNESCO World Heritage Site Jungfrau-Aletsch, and thereby to better understand the principle of sustainable development of the Alpine region. The SAC and UNESCO have jointly launched this project, and school classes can experience a project work in the Alps over five days. The aim is also to arouse interest in sports activities in the Alpine region. The Alpine Learning Project Week is now being held for the first time in other areas of Switzerland. ;Jungfrau Regions;https://s.geo.admin.ch/87c592f5cf;2014;Educational and research institutions, Clubs;Ecology, Education; ;Yes;https://www.jungfraualetsch.ch/de/unterrichtsmaterialien/ ;https://www.sac-cas.ch/de/jugend/schulen-und-partner/alpenlernen/
52;Private Partner Golf (PPG);"At the end of 2018, five golf clubs decided to enter into the ""Private Partner Golf (PPG)"" partnership and a sixth club joined in 2019. The clubs have realized that it is no longer the golfers` expectations to always play in one place. This means that golfers can only be members of one golf club and can play on all six courses for a minimal increase in annual fees.";Unterseen;https://s.geo.admin.ch/87c5934a7d;2018;Companies;Leisure activity; ;Yes;https://swigo.ch/ppg-private-partner-golf-gemeinsam-staerker/; 
53;Stiftung Rettungsdienst Frutigland;The Foundation Retungsdienst Frutigland was established in 2000, when it was proposed to reduce the 16 rescue services in the canton of Berne to four. The fear was that the long distances between the new bases would lead to a deterioration in emergency care. This suggestion was averted and the Frutigen Hospital set up a rescue service. The aim of the foundation is to promote the training and further education of paramedics and other personnel and thus maintain a rescue service in Fruttigland. ;Frutigen;https://s.geo.admin.ch/87c58ee538;2000;Individuals;Public service, Health; ;Yes;https://www.spitalfmi.ch/ueber-uns/stiftung-rettungsdienst-frutigland/; 
54;HolzNetzWerk Brünig;"HolzNetzWerk Brünig was launched in 2016 as a result of ""Zukunft Hasliberg"". The aim was to find a solution for networking regional companies from the timber industry. A symposium helped to identify synergies and clarify local needs. This symposium should always be held in Brünig, as it is a basis for networking local players. The HolzNetzWerk Brünig became the Forum Holz & Wirtschaft Schweiz.";Hasliberg;https://s.geo.admin.ch/87c5926206;2016;Educational and research institutions;Building and timber industry;NRP;No;https://forumholzwirtschaft.ch/; 
55;Generationenwohnen Hasliberg;"For two years, the Lucerne University of Applied Sciences and Arts worked together on the ""Future Hasliberg"" project. This gave rise to the idea of ""Generationenwohnen Hasliberg"" (multi-generational housing project). The aim of the project is to create needs-based forms of housing and living for older people in Hasliberg. This requires a suitable form of living in a central location. During this time, a working group consisting mainly of the elderly population from Hasliberg has laid the foundations for a future generation house through voluntary work.";Hasliberg;https://s.geo.admin.ch/87c5926206;2016;Individuals, Educational and research institutions;Health, Community development, Housing; ;Yes;https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=3527; 
